listing_id,entity_id,exchange,native_ticker,canonical_ticker,financial_data_security_id,financial_data_issuer_group_id,mapping_status,mapping_verified_at,mapping_source_url,collection_eligible,listing_role,vendor_tickers,currency,primary_listing,active_from,active_to,listing_status,registry_version,source_url,source_or_research_note
2330_TW,TSMC,TWSE,2330,2330.TW,378bb0d9738a48077b8f390385f37c1b3199a7695c3a829f08d68b8c02c028f6,,verified,2026-08-13,https://www.twse.com.tw/pdf/en/2330_en.pdf,true,primary,yfinance:2330.TW;twse:2330,TWD,true,2026-01-01,,archived,v1,https://www.twse.com.tw/pdf/en/2330_en.pdf,Taiwan Stock Exchange ordinary share; official TWSE company profile confirms code 2330.
TSM_US,TSMC,NYSE,TSM,TSM.US,ec53771b1240d0d11f7e46f7d34d1298fd8d2354289dbf91dad53a7d258028b8,,verified,2026-08-13,https://www.nyse.com/quote/XNYS:TSM,true,depositary_receipt,yfinance:TSM;nyse:TSM,USD,false,2026-01-01,,archived,v1,https://www.nyse.com/quote/XNYS:TSM,NYSE ADR; company-level entity is TSMC.
688981_CN,SMIC,SSE,688981,688981.SH,381b975f8741160b9c92e5777a1b49a31e611565f65a81f6498c4d95129b3ec1,,verified,2026-08-13,https://www.sse.com.cn/assortment/stock/list/info/company/index.shtml?COMPANY_CODE=688981,true,primary,yfinance:688981.SS;akshare:688981,CNY,true,2026-01-01,,archived,v1,https://www.sse.com.cn/assortment/stock/list/info/company/index.shtml?COMPANY_CODE=688981,Shanghai STAR Market listing; official code retained as numeric text.
0981_HK,SMIC,HKEX,0981,0981.HK,29a5272defc1964dbeb114b834b5045cdc291d57302923de344049baf1bf71db,3e1459e6359935389c2a920b55b06910c4b2bb7afae22dadba46f8f6c3b259e5,verified,2026-08-13,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities?sc_lang=en&sym=0981,true,secondary,yfinance:0981.HK;hkex:0981,HKD,false,2026-01-01,,archived,v1,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities?sc_lang=en&sym=0981,Hong Kong listing; HKEX materials identify 0981 as SMIC.
688347_CN,HUA_HONG_SEMICONDUCTOR,SSE,688347,688347.SH,ef2682fac0219fbf6cd88ccd16505292d1f4898cb81e0a1f2ebba363f7294ece,,verified,2026-08-13,https://www.sse.com.cn/assortment/stock/list/info/company/index.shtml?COMPANY_CODE=688347,true,primary,yfinance:688347.SS;akshare:688347,CNY,true,2026-01-01,,archived,v1,https://www.sse.com.cn/assortment/stock/list/info/company/index.shtml?COMPANY_CODE=688347,Shanghai STAR Market listing; official code retained as numeric text.
1347_HK,HUA_HONG_SEMICONDUCTOR,HKEX,1347,1347.HK,ce16796fe5674e4c6830dbd12169d1548bdd3054223a98e21046f499707487cd,819ddfeca52a04b428f5926f67311bdee7e9073aed240ee124729ca119f6efa8,verified,2026-08-13,https://www.hkex.com.hk/News/News-Release/2025/250228news?sc_lang=en,true,secondary,yfinance:1347.HK;hkex:1347,HKD,false,2026-01-01,,archived,v1,https://www.hkex.com.hk/News/News-Release/2025/250228news?sc_lang=en,Hong Kong listing; HKEX identifies Hua Hong Semiconductor code 1347.
2303_TW,UMC,TWSE,2303,2303.TW,68f1d6e1fb232b65392f10e6c69b6445cc26c77569049dafa9cae8c000798ef0,,verified,2026-08-13,https://www.twse.com.tw/en/stock/code/2303,true,primary,yfinance:2303.TW;twse:2303,TWD,true,2026-01-01,,archived,v1,https://www.twse.com.tw/en/stock/code/2303,Taiwan Stock Exchange ordinary share.
UMC_US,UMC,NYSE,UMC,UMC.US,0699915811455c62b7c0daae9dec5eaa6cdb0ae56ffd306cefb12e92beba49ac,,verified,2026-08-13,https://www.nyse.com/quote/XNYS:UMC,true,depositary_receipt,yfinance:UMC;nyse:UMC,USD,false,2026-01-01,,archived,v1,https://www.nyse.com/quote/XNYS:UMC,NYSE ADR; company-level entity is UMC.
GFS_US,GLOBALFOUNDRIES,NASDAQ,GFS,GFS.US,e12f353131a4801ed5f8c276439bbb110a2c008975429e6dfc7a0ba0a9c3bbf3,,verified,2026-08-13,https://www.nasdaq.com/market-activity/stocks/gfs,true,primary,yfinance:GFS;nasdaq:GFS,USD,true,2026-01-01,,archived,v1,https://www.nasdaq.com/market-activity/stocks/gfs,NASDAQ issuer listing; primary US listing.
3711_TW,ASE_TECHNOLOGY,TWSE,3711,3711.TW,81df01609d9656163033c33a3ac62cad988f6251f6ab89c1bfce45a1f2c19223,,verified,2026-08-13,https://www.twse.com.tw/en/stock/code/3711,true,primary,yfinance:3711.TW;twse:3711,TWD,true,2026-01-01,,archived,v1,https://www.twse.com.tw/en/stock/code/3711,Taiwan Stock Exchange ordinary share.
ASX_US,ASE_TECHNOLOGY,NYSE,ASX,ASX.US,0b569594e053aa9466eae3392679f4cde8b53c86ac888bcf03c10959b297b4e4,,verified,2026-08-13,https://www.nyse.com/quote/XNYS:ASX,true,depositary_receipt,yfinance:ASX;nyse:ASX,USD,false,2026-01-01,,archived,v1,https://www.nyse.com/quote/XNYS:ASX,NYSE ADR; company-level entity is ASE Technology.
AMKR_US,AMKOR,NASDAQ,AMKR,AMKR.US,1ae4c467eb26675c2f2ed975d00b1558b69dfebe1e1bd21ae06c785cc5d3667a,,verified,2026-08-13,https://www.nasdaq.com/market-activity/stocks/amkr,true,primary,yfinance:AMKR;nasdaq:AMKR,USD,true,2026-01-01,,archived,v1,https://www.nasdaq.com/market-activity/stocks/amkr,NASDAQ issuer listing; primary US listing.
BESI_NL,BESI,Euronext_Amsterdam,BESI,BESI.AS,68a56d7fcedb14c2b119b71473dcfc0e7f80672b94e3b4301edff51d4d8ece89,,verified,2026-08-13,https://live.euronext.com/en/product/equities/NL0012866412-XAMS,true,primary,yfinance:BESI.AS;euronext:BESI,EUR,true,2026-01-01,,archived,v1,https://live.euronext.com/en/product/equities/NL0012866412-XAMS,Euronext Amsterdam listing.
042700_KR,HANMI_SEMICONDUCTOR,KRX,042700,,,,unresolved,,,false,primary,yfinance:042700.KS;krx:042700,KRW,true,2026-01-01,,archived,v1,,Mapping unresolved; collection disabled pending row-specific evidence.
600584_CN,JCET,SSE,600584,600584.SH,4c67e39c383df112c1a22fbcc16cac729b8b3690eace34129221a9b451d37467,,verified,2026-08-13,https://www.sse.com.cn/assortment/stock/list/info/company/index.shtml?COMPANY_CODE=600584,true,primary,yfinance:600584.SS;akshare:600584,CNY,true,2026-01-01,,archived,v1,https://www.sse.com.cn/assortment/stock/list/info/company/index.shtml?COMPANY_CODE=600584,Shanghai Stock Exchange listing.
ASML_NL,ASML,Euronext_Amsterdam,ASML,ASML.AS,d3480df86155cd08d3660b64c00259abef4fcd909d9c6e83d9882f589e94dda8,,verified,2026-08-13,https://live.euronext.com/en/product/equities/NL0010273215-XAMS,true,primary,yfinance:ASML.AS;euronext:ASML,EUR,true,2026-01-01,,archived,v1,https://live.euronext.com/en/product/equities/NL0010273215-XAMS,Euronext Amsterdam ordinary share; primary listing.
ASML_US,ASML,NASDAQ,ASML,ASML.US,341f0f45e6cf0ab0e88dcc6df50c19b314ee6b8292a79c73c1bbac6f94b3b224,,verified,2026-08-13,https://www.nasdaq.com/market-activity/stocks/asml,true,depositary_receipt,yfinance:ASML;nasdaq:ASML,USD,false,2026-01-01,,archived,v1,https://www.nasdaq.com/market-activity/stocks/asml,NASDAQ ADR; company-level entity is ASML.
AMAT_US,APPLIED_MATERIALS,NASDAQ,AMAT,AMAT.US,8155296d51e25c0a4b96ad051a5fd2c35d6d006da5c9d6e2fbc57b8b1ef7e003,,verified,2026-08-13,https://www.nasdaq.com/market-activity/stocks/amat,true,primary,yfinance:AMAT;nasdaq:AMAT,USD,true,2026-01-01,,archived,v1,https://www.nasdaq.com/market-activity/stocks/amat,NASDAQ issuer listing; primary US listing.
LRCX_US,LAM_RESEARCH,NASDAQ,LRCX,LRCX.US,09d43e7b17c182bf1283403f92e15f8dee85377a916e338725587ee530f435ae,,verified,2026-08-13,https://www.nasdaq.com/market-activity/stocks/lrcx,true,primary,yfinance:LRCX;nasdaq:LRCX,USD,true,2026-01-01,,archived,v1,https://www.nasdaq.com/market-activity/stocks/lrcx,NASDAQ issuer listing; primary US listing.
KLAC_US,KLA,NASDAQ,KLAC,KLAC.US,c42ab4e4d9f89f5343312cfefa19c1ba045415abc0dc667da2b7f918c0d42999,,verified,2026-08-13,https://www.nasdaq.com/market-activity/stocks/klac,true,primary,yfinance:KLAC;nasdaq:KLAC,USD,true,2026-01-01,,archived,v1,https://www.nasdaq.com/market-activity/stocks/klac,NASDAQ issuer listing; primary US listing.
ASMI_NL,ASM_INTERNATIONAL,Euronext_Amsterdam,ASM,ASM.AS,8f02b6bc401db92a6d9d9350bc608330530758d66c1e2340f27d3a7bf164b2fa,,verified,2026-08-13,https://live.euronext.com/en/product/equities/NL0000334118-XAMS,true,primary,yfinance:ASM.AS;euronext:ASM,EUR,true,2026-01-01,,archived,v1,https://live.euronext.com/en/product/equities/NL0000334118-XAMS,Euronext Amsterdam listing.
002371_CN,NAURA,SZSE,002371,002371.SZ,4e920b2ad737af15f0dd786c41089cc33faaf0f95f1cdd061b2bbf7f0a0d850f,,verified,2026-08-13,https://docs.static.szse.cn/www/market/periodical/month/W020230411506512014060.html,true,primary,yfinance:002371.SZ;akshare:002371,CNY,true,2026-01-01,,archived,v1,https://docs.static.szse.cn/www/market/periodical/month/W020230411506512014060.html,Shenzhen Stock Exchange listing; official code retained as numeric text.
3037_TW,UNIMICRON,TWSE,3037,3037.TW,b04f65d6dc121d9066f6134df12b4a5e4a6d413c8509a233cfe9d22b7e65494b,,verified,2026-08-13,https://www.twse.com.tw/en/stock/code/3037,true,primary,yfinance:3037.TW;twse:3037,TWD,true,2026-01-01,,archived,v1,https://www.twse.com.tw/en/stock/code/3037,Taiwan Stock Exchange listing.
8046_TW,NAN_YA_PCB,TWSE,8046,8046.TW,b3c7782885899c33747ac13726c43523848f97a27af54cbb6667e169c66e73ab,,verified,2026-08-13,https://www.twse.com.tw/en/stock/code/8046,true,primary,yfinance:8046.TW;twse:8046,TWD,true,2026-01-01,,archived,v1,https://www.twse.com.tw/en/stock/code/8046,Taiwan Stock Exchange listing.
4062_JP,IBIDEN,TSE,4062,4062.T,43b1e12e14b9a8099fc47b3d4dfbf5fa7b861ec30198699e30ec03903858e54d,,verified,2026-08-13,https://www.ibiden.com/ir/items/kabushikibunkatsu2025.pdf,true,primary,yfinance:4062.T;jpx:4062,JPY,true,2026-01-01,,archived,v1,https://www.ibiden.com/ir/items/kabushikibunkatsu2025.pdf,Tokyo Stock Exchange listing.
2802_JP,AJINOMOTO,TSE,2802,2802.T,7797c953e799927b39cc837589dc2728b19cc98acd35d6d8712ceee2e6b503fc,,verified,2026-08-13,https://www.ajinomoto.com/cms_wp_ajnmt_global/wp-content/uploads/pdf/2026_02_05_03E.pdf,true,primary,yfinance:2802.T;jpx:2802,JPY,true,2026-01-01,,archived,v1,https://www.ajinomoto.com/cms_wp_ajnmt_global/wp-content/uploads/pdf/2026_02_05_03E.pdf,Tokyo Stock Exchange listing.
ANET_US,ARISTA_NETWORKS,NYSE,ANET,ANET.US,79af5e74a2873141e2269094072617a29b3bfbc8e0b66aef5fecec0b8095cb98,,verified,2026-08-13,https://www.nyse.com/quote/XNYS:ANET,true,primary,yfinance:ANET;nyse:ANET,USD,true,2026-01-01,,archived,v1,https://www.nyse.com/quote/XNYS:ANET,NYSE issuer listing; primary US listing.
LITE_US,LUMENTUM,NASDAQ,LITE,LITE.US,a7edbbf0c903a5828f06723c0b83ee72728068760184412ac2b0f77dee884a82,,verified,2026-08-13,https://www.nasdaq.com/market-activity/stocks/lite,true,primary,yfinance:LITE;nasdaq:LITE,USD,true,2026-01-01,,archived,v1,https://www.nasdaq.com/market-activity/stocks/lite,NASDAQ issuer listing; primary US listing.
COHR_US,COHERENT,NYSE,COHR,COHR.US,e5ea3f4b8e7dfec327431f87558b0bc04df6a966917314b5534fd1c833a66999,,verified,2026-08-13,https://www.nyse.com/quote/XNYS:COHR,true,primary,yfinance:COHR;nyse:COHR,USD,true,2026-01-01,,archived,v1,https://www.nyse.com/quote/XNYS:COHR,NYSE issuer listing; primary US listing.
2345_TW,ACCTON,TWSE,2345,2345.TW,0c53671d6f69571bea90dd5b2c99e2327851ba03f7c6897af522e10cc6b5bab4,,verified,2026-08-13,https://www.twse.com.tw/en/stock/code/2345,true,primary,yfinance:2345.TW;twse:2345,TWD,true,2026-01-01,,archived,v1,https://www.twse.com.tw/en/stock/code/2345,Taiwan Stock Exchange listing.
000063_CN,ZTE,SZSE,000063,,,,unresolved,,,false,primary,yfinance:000063.SZ;akshare:000063,CNY,true,2026-01-01,,archived,v1,,Mapping unresolved; collection disabled pending row-specific evidence.
0763_HK,ZTE,HKEX,0763,0763.HK,b545eea4a46229e607bc1ed54dc4780783f510fb4c73c9094b350b41e9ddcd72,,verified,2026-08-13,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities?sc_lang=en&sym=0763,true,secondary,yfinance:0763.HK;hkex:0763,HKD,false,2026-01-01,,archived,v1,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities?sc_lang=en&sym=0763,Hong Kong H-share listing; HKEX securities market mapping.
2382_TW,QUANTA,TWSE,2382,2382.TW,3fb95fdcc99fe67746a8d18bd818fc27a81f8bc5ba2d6852316ec85013e32368,,verified,2026-08-13,https://www.twse.com.tw/en/stock/code/2382,true,primary,yfinance:2382.TW;twse:2382,TWD,true,2026-01-01,,archived,v1,https://www.twse.com.tw/en/stock/code/2382,Taiwan Stock Exchange listing.
3231_TW,WISTRON,TWSE,3231,3231.TW,d2d6704aecaac0d133af5cb18fa9ebabf4d994a30e5801a04b5d23d322913890,,verified,2026-08-13,https://www.twse.com.tw/en/stock/code/3231,true,primary,yfinance:3231.TW;twse:3231,TWD,true,2026-01-01,,archived,v1,https://www.twse.com.tw/en/stock/code/3231,Taiwan Stock Exchange listing.
6669_TW,WIWYNN,TWSE,6669,6669.TW,d479af1caabdf21029a81aa08ac38005348fe74bda44cabbb45a36fe02b1e9bb,,verified,2026-08-13,https://www.twse.com.tw/en/stock/code/6669,true,primary,yfinance:6669.TW;twse:6669,TWD,true,2026-01-01,,archived,v1,https://www.twse.com.tw/en/stock/code/6669,Taiwan Stock Exchange listing.
DELL_US,DELL,NYSE,DELL,DELL.US,5340f9ec828b702a9a4ebfbcc60f92ae5abddb99ec58509e915f0d999b109adf,,verified,2026-08-13,https://www.nyse.com/quote/XNYS:DELL,true,primary,yfinance:DELL;nyse:DELL,USD,true,2026-01-01,,archived,v1,https://www.nyse.com/quote/XNYS:DELL,NYSE issuer listing; primary US listing.
HPE_US,HPE,NYSE,HPE,HPE.US,4da3982288a53fcf8cbad4d18ff560288cf817c2a60ab74e9dcf4ce6dbac9f32,,verified,2026-08-13,https://www.nyse.com/quote/XNYS:HPE,true,primary,yfinance:HPE;nyse:HPE,USD,true,2026-01-01,,archived,v1,https://www.nyse.com/quote/XNYS:HPE,NYSE issuer listing; primary US listing.
VRT_US,VERTIV,NYSE,VRT,VRT.US,fbf2916b3640ccf67154d2c39e29f8fc35cd2724e055a1ce844a2851604a656f,,verified,2026-08-13,https://www.nyse.com/quote/XNYS:VRT,true,primary,yfinance:VRT;nyse:VRT,USD,true,2026-01-01,,archived,v1,https://www.nyse.com/quote/XNYS:VRT,NYSE issuer listing; primary US listing.
ETN_US,EATON,NYSE,ETN,ETN.US,6547f38bf5f52cf9ef2d32902b76147f9e52b1dd3a616adf14bc584117ed26e9,,verified,2026-08-13,https://www.nyse.com/quote/XNYS:ETN,true,primary,yfinance:ETN;nyse:ETN,USD,true,2026-01-01,,archived,v1,https://www.nyse.com/quote/XNYS:ETN,NYSE issuer listing; primary US listing.
MPWR_US,MONOLITHIC_POWER_SYSTEMS,NASDAQ,MPWR,MPWR.US,a00cd0f3d338c6d046cbee893e2574ac6da7ac291e6427d65d096bd6335fcceb,,verified,2026-08-13,https://www.nasdaq.com/market-activity/stocks/mpwr,true,primary,yfinance:MPWR;nasdaq:MPWR,USD,true,2026-01-01,,archived,v1,https://www.nasdaq.com/market-activity/stocks/mpwr,NASDAQ issuer listing; primary US listing.
2308_TW,DELTA_ELECTRONICS,TWSE,2308,2308.TW,cb495ad3cd751433882a0f6daa13341ef3bac5311dd99e61feecbc7bb1543632,,verified,2026-08-13,https://www.twse.com.tw/en/stock/code/2308,true,primary,yfinance:2308.TW;twse:2308,TWD,true,2026-01-01,,archived,v1,https://www.twse.com.tw/en/stock/code/2308,Taiwan Stock Exchange listing.
SU_FR,SCHNEIDER_ELECTRIC,Euronext_Paris,SU,SU.PA,2974ea9345c6fef5042b1e6218a95b19d2beefdfa2e9cdfb96d030178ea446af,,verified,2026-08-13,https://live.euronext.com/en/product/equities/FR0000121972-XPAR,true,primary,yfinance:SU.PA;euronext:SU,EUR,true,2026-01-01,,archived,v1,https://live.euronext.com/en/product/equities/FR0000121972-XPAR,Euronext Paris listing.
GEV_US,GE_VERNOVA,NYSE,GEV,GEV.US,30f28455b9c4a1229b091cbb81811a2713c00a8dd17e4ef59e6f3a10af5e312b,,verified,2026-08-13,https://www.nyse.com/quote/XNYS:GEV,true,primary,yfinance:GEV;nyse:GEV,USD,true,2026-01-01,,archived,v1,https://www.nyse.com/quote/XNYS:GEV,NYSE issuer listing; primary US listing.
CEG_US,CONSTELLATION_ENERGY,NASDAQ,CEG,CEG.US,18aeff03b8db8daf82aee70905f68758c9c61c8d3cd0d427a7b38864a6ee953b,,verified,2026-08-13,https://www.nasdaq.com/market-activity/stocks/ceg,true,primary,yfinance:CEG;nasdaq:CEG,USD,true,2026-01-01,,archived,v1,https://www.nasdaq.com/market-activity/stocks/ceg,NASDAQ issuer listing; primary US listing.
VST_US,VISTRA,NYSE,VST,VST.US,fc5b1647d37a4e9c05ab58577c2c74dbcf9fa9e2e6b432703772d6f8b67b1a96,,verified,2026-08-13,https://www.nyse.com/quote/XNYS:VST,true,primary,yfinance:VST;nyse:VST,USD,true,2026-01-01,,archived,v1,https://www.nyse.com/quote/XNYS:VST,NYSE issuer listing; primary US listing.
ENR_DE,SIEMENS_ENERGY,XETRA,ENR,,,,unresolved,,,false,primary,yfinance:ENR.DE;deutsche-boerse:ENR,EUR,true,2026-01-01,,archived,v1,,Mapping unresolved; collection disabled pending row-specific evidence.
MSFT_US,MICROSOFT,NASDAQ,MSFT,MSFT.US,a941ee46816920825f2beac0b909729630b2710247295bb51c767adb378c40d1,,verified,2026-08-13,https://www.nasdaq.com/market-activity/stocks/msft,true,primary,yfinance:MSFT;nasdaq:MSFT,USD,true,2026-01-01,,archived,v1,https://www.nasdaq.com/market-activity/stocks/msft,NASDAQ issuer listing; primary US listing.
AMZN_US,AMAZON,NASDAQ,AMZN,AMZN.US,7cf9eb1da16f0c7d6bc5f4a8a4eca81afe9d28773dfebef3d80d799980e680ab,,verified,2026-08-13,https://www.nasdaq.com/market-activity/stocks/amzn,true,primary,yfinance:AMZN;nasdaq:AMZN,USD,true,2026-01-01,,archived,v1,https://www.nasdaq.com/market-activity/stocks/amzn,NASDAQ issuer listing; primary US listing.
GOOGL_US,ALPHABET,NASDAQ,GOOGL,GOOGL.US,b1ebc209c271c791c92992e509fe08fb45fbcd8882df32f661c54b2b871b63c5,,verified,2026-08-13,https://www.nasdaq.com/market-activity/stocks/googl,true,primary,yfinance:GOOGL;nasdaq:GOOGL,USD,true,2026-01-01,,archived,v1,https://www.nasdaq.com/market-activity/stocks/googl,NASDAQ issuer listing; primary US listing.
META_US,META,NASDAQ,META,META.US,d61dbe0e93d934e076c720853ba00d3316353c31d80eec0b1c3464c64dfeb639,,verified,2026-08-13,https://www.nasdaq.com/market-activity/stocks/meta,true,primary,yfinance:META;nasdaq:META,USD,true,2026-01-01,,archived,v1,https://www.nasdaq.com/market-activity/stocks/meta,NASDAQ issuer listing; primary US listing.
ORCL_US,ORACLE,NYSE,ORCL,ORCL.US,454c6aea741df57867ccc7a8fd58b89a68b5754708ea30c70b5ad18dc0c1034a,,verified,2026-08-13,https://www.nyse.com/quote/XNYS:ORCL,true,primary,yfinance:ORCL;nyse:ORCL,USD,true,2026-01-01,,archived,v1,https://www.nyse.com/quote/XNYS:ORCL,NYSE issuer listing; primary US listing.
0700_HK,TENCENT,HKEX,0700,0700.HK,3eea5dc65d9991957f36fd64e4a5874212c9bc24eb48627e9371e1ee4a07cfc0,fce966aa256adaf91cb2cba0aea1bb4fb58838964a264ef8fb16b6c3ecdcc41d,verified,2026-08-13,https://www.hkex.com.hk/Products/Listed-Derivatives/Single-Stock/Stock-Options/Trading-Information/Derivatives-Market-Access-Codes?sc_lang=en,true,primary,yfinance:0700.HK;hkex:0700,HKD,true,2026-01-01,,active,v1,https://www.hkex.com.hk/Products/Listed-Derivatives/Single-Stock/Stock-Options/Trading-Information/Derivatives-Market-Access-Codes?sc_lang=en,HKEX listing; official derivative access-code page identifies Tencent code 700.
TCEHY_US,TENCENT,OTC,TCEHY,,,,unresolved,,,false,depositary_receipt,,USD,false,2026-01-01,,active,v1,,"US OTC depositary receipt; depositary role, ratio/type, and vendor crosswalk unresolved/unverified; collection disabled pending official verification."
9988_HK,ALIBABA,HKEX,9988,9988.HK,98d11e50fb5769f647bbeee6fe5cc208ba6e70771d4632aa7b275bd7aa232eb1,d3b9df1d30ee81488c658c796f3d635dfa98560a6aedbf3a529e8a5bf8003131,verified,2026-08-13,https://www.hkex.com.hk/News/market-communications/2019/191120news?sc_lang=en,true,secondary,yfinance:9988.HK;hkex:9988,HKD,false,2026-01-01,,active,v1,https://www.hkex.com.hk/News/market-communications/2019/191120news?sc_lang=en,HKEX ordinary share listing; official market data identifies code 9988.
BABA_US,ALIBABA,NYSE,BABA,BABA.US,01fa00f2c3d0dda1fd4ff3c815139b67b539b54f6aea432d19dda6c6d11ebd52,,verified,2026-08-13,https://www.nyse.com/quote/XNYS:BABA,true,primary,yfinance:BABA;nyse:BABA,USD,true,2026-01-01,,active,v1,https://www.nyse.com/quote/XNYS:BABA,NYSE ADR; company-level entity is Alibaba.
JPM_US,JPMORGAN_CHASE,NYSE,JPM,JPM.US,a0c917c17efb8c98bd1f76696efced41a6c5b8b3329b441ea55110a1bc03f651,,verified,2026-08-13,https://www.nyse.com/quote/XNYS:JPM,true,primary,yfinance:JPM;nyse:JPM,USD,true,2026-01-01,,archived,v1,https://www.nyse.com/quote/XNYS:JPM,NYSE issuer listing; primary US listing.
BRK_B_US,BERKSHIRE_HATHAWAY,NYSE,BRK.B,BRK.B.US,780b0ff344277349861e642d248767e958feec1c14f3b75e78ea7650ed360703,,verified,2026-08-13,https://www.nyse.com/quote/XNYS:BRK.B,true,primary,yfinance:BRK-B;nyse:BRK.B,USD,true,2026-01-01,,archived,v1,https://www.nyse.com/quote/XNYS:BRK.B,NYSE Class B issuer listing; ticker punctuation is retained in native_ticker.
XOM_US,EXXON_MOBIL,NYSE,XOM,XOM.US,a4f9b0a4a911d5861941e00cea8e6af9bd3e4d0326c266d776ddcf5b2787fb64,,verified,2026-08-13,https://www.nyse.com/quote/XNYS:XOM,true,primary,yfinance:XOM;nyse:XOM,USD,true,2026-01-01,,archived,v1,https://www.nyse.com/quote/XNYS:XOM,NYSE issuer listing; primary US listing.
