entity_id,legal_name,display_name,country,sector,industry,active_status,active_from,active_to,registry_version,source_or_research_note,entity_type
WISTRON,Wistron Corporation,Wistron,TW,Information Technology,Technology Hardware,archived,2026-01-01,,v1,TWSE-listed server and electronics ODM.,public
WIWYNN,Wiwynn Corporation,Wiwynn,TW,Information Technology,Technology Hardware,archived,2026-01-01,,v1,TWSE-listed cloud IT infrastructure ODM.,public
DELL,Dell Technologies Inc.,Dell,US,Information Technology,Technology Hardware,archived,2026-01-01,,v1,Issuer and NYSE-listed server and systems company.,public
HPE,Hewlett Packard Enterprise Company,HPE,US,Information Technology,Technology Hardware,archived,2026-01-01,,v1,Issuer and NYSE-listed enterprise systems company.,public
VERTIV,Vertiv Holdings Co.,Vertiv,US,Industrials,Electrical Equipment,archived,2026-01-01,,v1,Issuer and NYSE-listed data-center power and cooling company.,public
EATON,Eaton Corporation plc,Eaton,IE,Industrials,Electrical Equipment,archived,2026-01-01,,v1,Issuer and NYSE-listed power-management company.,public
MONOLITHIC_POWER_SYSTEMS,Monolithic Power Systems Inc.,Monolithic Power Systems,US,Information Technology,Semiconductors,archived,2026-01-01,,v1,Issuer and Nasdaq-listed power-management semiconductor company.,public
DELTA_ELECTRONICS,Delta Electronics Inc.,Delta Electronics,TW,Information Technology,Electrical Components,archived,2026-01-01,,v1,TWSE-listed power electronics and thermal-management company.,public
SCHNEIDER_ELECTRIC,Schneider Electric SE,Schneider Electric,FR,Industrials,Electrical Equipment,archived,2026-01-01,,v1,Euronext Paris-listed power-management and automation company.,public
GE_VERNOVA,GE Vernova Inc.,GE Vernova,US,Industrials,Electrical Equipment,archived,2026-01-01,,v1,Issuer and NYSE-listed grid and power-generation company.,public
CONSTELLATION_ENERGY,Constellation Energy Corporation,Constellation Energy,US,Utilities,Electric Utilities,archived,2026-01-01,,v1,Issuer and Nasdaq-listed power-generation company.,public
VISTRA,Vistra Corp.,Vistra,US,Utilities,Electric Utilities,archived,2026-01-01,,v1,Issuer and NYSE-listed power-generation and retail-electricity company.,public
SIEMENS_ENERGY,Siemens Energy AG,Siemens Energy,DE,Industrials,Electrical Equipment,archived,2026-01-01,,v1,Xetra-listed grid and energy-equipment company.,public
MICROSOFT,Microsoft Corporation,Microsoft,US,Information Technology,Software,archived,2026-01-01,,v1,Issuer and Nasdaq-listed hyperscaler demand anchor.,public
AMAZON,Amazon.com Inc.,Amazon,US,Consumer Discretionary,Internet Retail,archived,2026-01-01,,v1,Issuer and Nasdaq-listed hyperscaler and cloud demand anchor.,public
ALPHABET,Alphabet Inc.,Alphabet,US,Communication Services,Interactive Media,archived,2026-01-01,,v1,Issuer and Nasdaq-listed hyperscaler demand anchor.,public
META,Meta Platforms Inc.,Meta,US,Communication Services,Interactive Media,archived,2026-01-01,,v1,Issuer and Nasdaq-listed hyperscaler demand anchor.,public
ORACLE,Oracle Corporation,Oracle,US,Information Technology,Software,archived,2026-01-01,,v1,Issuer and NYSE-listed cloud and enterprise software demand anchor.,public
TENCENT,Tencent Holdings Limited,Tencent,HK,Communication Services,Interactive Media,active,2026-01-01,,v1,Hong Kong-listed platform and cloud demand anchor.,public
ALIBABA,Alibaba Group Holding Limited,Alibaba,CN,Consumer Discretionary,Internet Retail,active,2026-01-01,,v1,Hong Kong ordinary share and NYSE ADR represent one company-level entity.,public
JPMORGAN_CHASE,JPMorgan Chase & Co.,JPMorgan Chase,US,Financials,Banks,archived,2026-01-01,,v1,NYSE-listed US value-basket anchor.,public
BERKSHIRE_HATHAWAY,Berkshire Hathaway Inc.,Berkshire Hathaway,US,Financials,Diversified Financials,archived,2026-01-01,,v1,NYSE-listed US value-basket anchor.,public
EXXON_MOBIL,Exxon Mobil Corporation,Exxon Mobil,US,Energy,Integrated Oil and Gas,archived,2026-01-01,,v1,NYSE-listed US value-basket anchor.,public
PROCTER_GAMBLE,The Procter and Gamble Company,Procter and Gamble,US,Consumer Staples,Household Products,archived,2026-01-01,,v1,NYSE-listed US defensive-value anchor.,public
AIA_GROUP,AIA Group Limited,AIA,HK,Financials,Insurance,archived,2026-01-01,,v1,Hong Kong-listed insurer and HK value-basket anchor.,public
HSBC_HOLDINGS,HSBC Holdings plc,HSBC,GB,Financials,Banks,archived,2026-01-01,,v1,Hong Kong-listed primary share and global banking value anchor.,public
MTR_CORPORATION,MTR Corporation Limited,MTR Corporation,HK,Industrials,Transportation Infrastructure,archived,2026-01-01,,v1,Hong Kong-listed transport and property value-basket anchor.,public
CLP_HOLDINGS,CLP Holdings Limited,CLP Holdings,HK,Utilities,Electric Utilities,archived,2026-01-01,,v1,Hong Kong-listed utility and value-basket anchor.,public
HENDERSON_LAND,Henderson Land Development Company Limited,Henderson Land,HK,Real Estate,Real Estate Development,archived,2026-01-01,,v1,Hong Kong-listed developer and value-basket anchor.,public
MEITUAN,Meituan,Meituan,CN,Consumer Discretionary,Internet Services,archived,2026-01-01,,v1,Hong Kong-listed platform company in the HK internet basket.,public
JD_COM,JD.com Inc.,JD.com,CN,Consumer Discretionary,Internet Retail,archived,2026-01-01,,v1,Hong Kong ordinary share in the HK internet basket.,public
KUAISHOU,Kuaishou Technology,Kuaishou,CN,Communication Services,Interactive Media,active,2026-01-01,,v1,Hong Kong-listed platform company in the HK internet basket.,public
BAIDU,Baidu Inc.,Baidu,CN,Communication Services,Interactive Media,active,2026-01-01,,v1,Hong Kong ordinary share in the HK internet and AI thematic baskets.,public
BILIBILI,Bilibili Inc.,Bilibili,CN,Communication Services,Interactive Media,active,2026-01-01,,v1,Hong Kong-listed platform company; verified ordinary-share identity for Stage 1 research.,public
BYTEDANCE,ByteDance Ltd.,ByteDance,CN,Communication Services,Interactive Media,active,2026-01-01,,v1,"Private company; competitor, product, AI and advertising research only; no listing or collection.",private
MINIMAX,MiniMax,MiniMax,CN,Information Technology,Software,active,2026-01-01,,v1,Hong Kong-listed LLM company (0100.HK); Stage 1 China Internet AI platform.,public
Z_AI,Zhipu AI,Z.AI,CN,Information Technology,Software,active,2026-01-01,,v1,Hong Kong-listed LLM company (2513.HK); Stage 1 China Internet AI platform.,public
MOONSHOT,Moonshot AI,Moonshot AI,CN,Information Technology,Software,active,2026-01-01,,v1,Private LLM company (Kimi); competitor and product research only pending a listing; no market-data collection.,private
