mineral_name,normalized_mineral_id,ticker_raw,ticker_normalized,market,exposure_purity,mapping_note,is_primary_exposure,importance_rank,importance_tier
Beryllium,beryllium,601168.SH,601168.SH,CN_A,Primary for MTRN; weak/adjacent in China,Materion is the cleanest US-listed beryllium/alloy/materials proxy.,False,60,Tier 5 - lower/unknown
Beryllium,beryllium,MTRN,MTRN,US,Primary for MTRN; weak/adjacent in China,Materion is the cleanest US-listed beryllium/alloy/materials proxy.,True,60,Tier 5 - lower/unknown
Bismuth,bismuth,002155.SZ,002155.SZ,CN_A,Byproduct exposure,Bismuth is usually byproduct of lead/zinc/copper/tin smelting.,False,19,Tier 2 - very high
Bismuth,bismuth,600497.SH,600497.SH,CN_A,Byproduct exposure,Bismuth is usually byproduct of lead/zinc/copper/tin smelting.,False,19,Tier 2 - very high
Bismuth,bismuth,600961.SH,600961.SH,CN_A,Byproduct exposure,Bismuth is usually byproduct of lead/zinc/copper/tin smelting.,False,19,Tier 2 - very high
Bismuth,bismuth,TECK,TECK,US,Byproduct exposure,Bismuth is usually byproduct of lead/zinc/copper/tin smelting.,False,19,Tier 2 - very high
Boron,boron,000762.SZ,000762.SZ,CN_A,Primary for Rio/FEAM; adjacent for Chinese brine/salt-lake names,Rio Tinto’s Boron operation is the key large listed global proxy.,False,59,Tier 5 - lower/unknown
Boron,boron,000792.SZ,000792.SZ,CN_A,Primary for Rio/FEAM; adjacent for Chinese brine/salt-lake names,Rio Tinto’s Boron operation is the key large listed global proxy.,False,59,Tier 5 - lower/unknown
Boron,boron,600338.SH,600338.SH,CN_A,Primary for Rio/FEAM; adjacent for Chinese brine/salt-lake names,Rio Tinto’s Boron operation is the key large listed global proxy.,False,59,Tier 5 - lower/unknown
Boron,boron,FEAM,FEAM,US,Primary for Rio/FEAM; adjacent for Chinese brine/salt-lake names,Rio Tinto’s Boron operation is the key large listed global proxy.,True,59,Tier 5 - lower/unknown
Boron,boron,RIO,RIO,US,Primary for Rio/FEAM; adjacent for Chinese brine/salt-lake names,Rio Tinto’s Boron operation is the key large listed global proxy.,True,59,Tier 5 - lower/unknown
Cerium,cerium,000831.SZ,000831.SZ,CN_A,Light REE exposure,"REE complex exposure; individual element revenue disclosure is usually limited, especially for heavy REEs.",False,40,Tier 3 - high
Cerium,cerium,000970.SZ,000970.SZ,CN_A,Light REE exposure,"REE complex exposure; individual element revenue disclosure is usually limited, especially for heavy REEs.",False,40,Tier 3 - high
Cerium,cerium,300748.SZ,300748.SZ,CN_A,Light REE exposure,"REE complex exposure; individual element revenue disclosure is usually limited, especially for heavy REEs.",False,40,Tier 3 - high
Cerium,cerium,600111.SH,600111.SH,CN_A,Light REE exposure,"REE complex exposure; individual element revenue disclosure is usually limited, especially for heavy REEs.",False,40,Tier 3 - high
Cerium,cerium,600366.SH,600366.SH,CN_A,Light REE exposure,"REE complex exposure; individual element revenue disclosure is usually limited, especially for heavy REEs.",False,40,Tier 3 - high
Cerium,cerium,600392.SH,600392.SH,CN_A,Light REE exposure,"REE complex exposure; individual element revenue disclosure is usually limited, especially for heavy REEs.",False,40,Tier 3 - high
Cerium,cerium,6680.HK,6680.HK,HK,Light REE exposure,"REE complex exposure; individual element revenue disclosure is usually limited, especially for heavy REEs.",False,40,Tier 3 - high
Cerium,cerium,MP,MP,US,Light REE exposure,"REE complex exposure; individual element revenue disclosure is usually limited, especially for heavy REEs.",False,40,Tier 3 - high
Cerium,cerium,USA,USA,US,Light REE exposure,"REE complex exposure; individual element revenue disclosure is usually limited, especially for heavy REEs.",False,40,Tier 3 - high
Cerium,cerium,USAR,USAR,US,Light REE exposure,"REE complex exposure; individual element revenue disclosure is usually limited, especially for heavy REEs.",False,40,Tier 3 - high
Cerium,cerium,UUUU,UUUU,US,Light REE exposure,"REE complex exposure; individual element revenue disclosure is usually limited, especially for heavy REEs.",False,40,Tier 3 - high
Cesium,cesium,002738.SZ,002738.SZ,CN_A,Primary for Sinomine,Cesium is niche; listed equity exposure is scarce and concentrated.,False,9,Tier 1 - highest
Chromium,chromium,000928.SZ,000928.SZ,CN_A,Weak/adjacent,Chromium exposure is poor in public equities; many operations are private or integrated in stainless chains.,False,27,Tier 3 - high
Chromium,chromium,GLNCY,GLNCY,US,Weak/adjacent,Chromium exposure is poor in public equities; many operations are private or integrated in stainless chains.,False,27,Tier 3 - high
Chromium,chromium,GSM,GSM,US,Weak/adjacent,Chromium exposure is poor in public equities; many operations are private or integrated in stainless chains.,False,27,Tier 3 - high
Cobalt,cobalt,002340.SZ,002340.SZ,CN_A,Primary for CMOC/Huayou/Hanrui; diversified/byproduct for global names,CMOC is one of the cleanest listed cobalt mining exposures; battery-material processors add refining exposure.,False,21,Tier 2 - very high
Cobalt,cobalt,300618.SZ,300618.SZ,CN_A,Primary for CMOC/Huayou/Hanrui; diversified/byproduct for global names,CMOC is one of the cleanest listed cobalt mining exposures; battery-material processors add refining exposure.,False,21,Tier 2 - very high
Cobalt,cobalt,603799.SH,603799.SH,CN_A,Primary for CMOC/Huayou/Hanrui; diversified/byproduct for global names,CMOC is one of the cleanest listed cobalt mining exposures; battery-material processors add refining exposure.,False,21,Tier 2 - very high
Cobalt,cobalt,603993.SH,603993.SH,CN_A,Primary for CMOC/Huayou/Hanrui; diversified/byproduct for global names,CMOC is one of the cleanest listed cobalt mining exposures; battery-material processors add refining exposure.,False,21,Tier 2 - very high
Cobalt,cobalt,3993.HK,3993.HK,HK,Primary for CMOC/Huayou/Hanrui; diversified/byproduct for global names,CMOC is one of the cleanest listed cobalt mining exposures; battery-material processors add refining exposure.,False,21,Tier 2 - very high
Cobalt,cobalt,ELBM,ELBM,US,Primary for CMOC/Huayou/Hanrui; diversified/byproduct for global names,CMOC is one of the cleanest listed cobalt mining exposures; battery-material processors add refining exposure.,False,21,Tier 2 - very high
Cobalt,cobalt,GLNCY,GLNCY,US,Primary for CMOC/Huayou/Hanrui; diversified/byproduct for global names,CMOC is one of the cleanest listed cobalt mining exposures; battery-material processors add refining exposure.,False,21,Tier 2 - very high
Cobalt,cobalt,JRVMF,JRVMF,US,Primary for CMOC/Huayou/Hanrui; diversified/byproduct for global names,CMOC is one of the cleanest listed cobalt mining exposures; battery-material processors add refining exposure.,False,21,Tier 2 - very high
Cobalt,cobalt,VALE,VALE,US,Primary for CMOC/Huayou/Hanrui; diversified/byproduct for global names,CMOC is one of the cleanest listed cobalt mining exposures; battery-material processors add refining exposure.,False,21,Tier 2 - very high
Copper,copper,000630.SZ,000630.SZ,CN_A,Primary copper exposure,Copper has broad liquid public-equity coverage in both China/HK and US.,False,46,Tier 4 - moderate
Copper,copper,600362.SH,600362.SH,CN_A,Primary copper exposure,Copper has broad liquid public-equity coverage in both China/HK and US.,False,46,Tier 4 - moderate
Copper,copper,601899.SH,601899.SH,CN_A,Primary copper exposure,Copper has broad liquid public-equity coverage in both China/HK and US.,False,46,Tier 4 - moderate
Copper,copper,603993.SH,603993.SH,CN_A,Primary copper exposure,Copper has broad liquid public-equity coverage in both China/HK and US.,False,46,Tier 4 - moderate
Copper,copper,0358.HK,0358.HK,HK,Primary copper exposure,Copper has broad liquid public-equity coverage in both China/HK and US.,False,46,Tier 4 - moderate
Copper,copper,2899.HK,2899.HK,HK,Primary copper exposure,Copper has broad liquid public-equity coverage in both China/HK and US.,False,46,Tier 4 - moderate
Copper,copper,3993.HK,3993.HK,HK,Primary copper exposure,Copper has broad liquid public-equity coverage in both China/HK and US.,False,46,Tier 4 - moderate
Copper,copper,FCX,FCX,US,Primary copper exposure,Copper has broad liquid public-equity coverage in both China/HK and US.,False,46,Tier 4 - moderate
Copper,copper,HBM,HBM,US,Primary copper exposure,Copper has broad liquid public-equity coverage in both China/HK and US.,False,46,Tier 4 - moderate
Copper,copper,SCCO,SCCO,US,Primary copper exposure,Copper has broad liquid public-equity coverage in both China/HK and US.,False,46,Tier 4 - moderate
Copper,copper,TECK,TECK,US,Primary copper exposure,Copper has broad liquid public-equity coverage in both China/HK and US.,False,46,Tier 4 - moderate
Dysprosium,dysprosium,000831.SZ,000831.SZ,CN_A,Heavy REE / magnet exposure,"REE complex exposure; individual element revenue disclosure is usually limited, especially for heavy REEs.",False,23,Tier 2 - very high
Dysprosium,dysprosium,000970.SZ,000970.SZ,CN_A,Heavy REE / magnet exposure,"REE complex exposure; individual element revenue disclosure is usually limited, especially for heavy REEs.",False,23,Tier 2 - very high
Dysprosium,dysprosium,300748.SZ,300748.SZ,CN_A,Heavy REE / magnet exposure,"REE complex exposure; individual element revenue disclosure is usually limited, especially for heavy REEs.",False,23,Tier 2 - very high
Dysprosium,dysprosium,600111.SH,600111.SH,CN_A,Heavy REE / magnet exposure,"REE complex exposure; individual element revenue disclosure is usually limited, especially for heavy REEs.",False,23,Tier 2 - very high
Dysprosium,dysprosium,600366.SH,600366.SH,CN_A,Heavy REE / magnet exposure,"REE complex exposure; individual element revenue disclosure is usually limited, especially for heavy REEs.",False,23,Tier 2 - very high
Dysprosium,dysprosium,600392.SH,600392.SH,CN_A,Heavy REE / magnet exposure,"REE complex exposure; individual element revenue disclosure is usually limited, especially for heavy REEs.",False,23,Tier 2 - very high
Dysprosium,dysprosium,6680.HK,6680.HK,HK,Heavy REE / magnet exposure,"REE complex exposure; individual element revenue disclosure is usually limited, especially for heavy REEs.",False,23,Tier 2 - very high
Dysprosium,dysprosium,MP,MP,US,Heavy REE / magnet exposure,"REE complex exposure; individual element revenue disclosure is usually limited, especially for heavy REEs.",False,23,Tier 2 - very high
Dysprosium,dysprosium,USA,USA,US,Heavy REE / magnet exposure,"REE complex exposure; individual element revenue disclosure is usually limited, especially for heavy REEs.",False,23,Tier 2 - very high
Dysprosium,dysprosium,USAR,USAR,US,Heavy REE / magnet exposure,"REE complex exposure; individual element revenue disclosure is usually limited, especially for heavy REEs.",False,23,Tier 2 - very high
Dysprosium,dysprosium,UUUU,UUUU,US,Heavy REE / magnet exposure,"REE complex exposure; individual element revenue disclosure is usually limited, especially for heavy REEs.",False,23,Tier 2 - very high
Erbium,erbium,000831.SZ,000831.SZ,CN_A,Heavy REE exposure,"REE complex exposure; individual element revenue disclosure is usually limited, especially for heavy REEs.",False,35,Tier 3 - high
Erbium,erbium,000970.SZ,000970.SZ,CN_A,Heavy REE exposure,"REE complex exposure; individual element revenue disclosure is usually limited, especially for heavy REEs.",False,35,Tier 3 - high
Erbium,erbium,300748.SZ,300748.SZ,CN_A,Heavy REE exposure,"REE complex exposure; individual element revenue disclosure is usually limited, especially for heavy REEs.",False,35,Tier 3 - high
Erbium,erbium,600111.SH,600111.SH,CN_A,Heavy REE exposure,"REE complex exposure; individual element revenue disclosure is usually limited, especially for heavy REEs.",False,35,Tier 3 - high
Erbium,erbium,600366.SH,600366.SH,CN_A,Heavy REE exposure,"REE complex exposure; individual element revenue disclosure is usually limited, especially for heavy REEs.",False,35,Tier 3 - high
Erbium,erbium,600392.SH,600392.SH,CN_A,Heavy REE exposure,"REE complex exposure; individual element revenue disclosure is usually limited, especially for heavy REEs.",False,35,Tier 3 - high
Erbium,erbium,6680.HK,6680.HK,HK,Heavy REE exposure,"REE complex exposure; individual element revenue disclosure is usually limited, especially for heavy REEs.",False,35,Tier 3 - high
Erbium,erbium,MP,MP,US,Heavy REE exposure,"REE complex exposure; individual element revenue disclosure is usually limited, especially for heavy REEs.",False,35,Tier 3 - high
Erbium,erbium,USA,USA,US,Heavy REE exposure,"REE complex exposure; individual element revenue disclosure is usually limited, especially for heavy REEs.",False,35,Tier 3 - high
Erbium,erbium,USAR,USAR,US,Heavy REE exposure,"REE complex exposure; individual element revenue disclosure is usually limited, especially for heavy REEs.",False,35,Tier 3 - high
Erbium,erbium,UUUU,UUUU,US,Heavy REE exposure,"REE complex exposure; individual element revenue disclosure is usually limited, especially for heavy REEs.",False,35,Tier 3 - high
Europium,europium,000831.SZ,000831.SZ,CN_A,Heavy REE exposure,"REE complex exposure; individual element revenue disclosure is usually limited, especially for heavy REEs.",False,37,Tier 3 - high
Europium,europium,000970.SZ,000970.SZ,CN_A,Heavy REE exposure,"REE complex exposure; individual element revenue disclosure is usually limited, especially for heavy REEs.",False,37,Tier 3 - high
Europium,europium,300748.SZ,300748.SZ,CN_A,Heavy REE exposure,"REE complex exposure; individual element revenue disclosure is usually limited, especially for heavy REEs.",False,37,Tier 3 - high
Europium,europium,600111.SH,600111.SH,CN_A,Heavy REE exposure,"REE complex exposure; individual element revenue disclosure is usually limited, especially for heavy REEs.",False,37,Tier 3 - high
Europium,europium,600366.SH,600366.SH,CN_A,Heavy REE exposure,"REE complex exposure; individual element revenue disclosure is usually limited, especially for heavy REEs.",False,37,Tier 3 - high
Europium,europium,600392.SH,600392.SH,CN_A,Heavy REE exposure,"REE complex exposure; individual element revenue disclosure is usually limited, especially for heavy REEs.",False,37,Tier 3 - high
Europium,europium,6680.HK,6680.HK,HK,Heavy REE exposure,"REE complex exposure; individual element revenue disclosure is usually limited, especially for heavy REEs.",False,37,Tier 3 - high
Europium,europium,MP,MP,US,Heavy REE exposure,"REE complex exposure; individual element revenue disclosure is usually limited, especially for heavy REEs.",False,37,Tier 3 - high
Europium,europium,USA,USA,US,Heavy REE exposure,"REE complex exposure; individual element revenue disclosure is usually limited, especially for heavy REEs.",False,37,Tier 3 - high
Europium,europium,USAR,USAR,US,Heavy REE exposure,"REE complex exposure; individual element revenue disclosure is usually limited, especially for heavy REEs.",False,37,Tier 3 - high
Europium,europium,UUUU,UUUU,US,Heavy REE exposure,"REE complex exposure; individual element revenue disclosure is usually limited, especially for heavy REEs.",False,37,Tier 3 - high
Fluorspar,fluorspar,002407.SZ,002407.SZ,CN_A,Primary for Chinese upstream/fluorochemicals; small-cap for ARSMF,"Fluorspar exposure is often through fluorochemicals, refrigerants, and battery-electrolyte chains.",False,13,Tier 1 - highest
Fluorspar,fluorspar,603505.SH,603505.SH,CN_A,Primary for Chinese upstream/fluorochemicals; small-cap for ARSMF,"Fluorspar exposure is often through fluorochemicals, refrigerants, and battery-electrolyte chains.",False,13,Tier 1 - highest
Fluorspar,fluorspar,605020.SH,605020.SH,CN_A,Primary for Chinese upstream/fluorochemicals; small-cap for ARSMF,"Fluorspar exposure is often through fluorochemicals, refrigerants, and battery-electrolyte chains.",False,13,Tier 1 - highest
Fluorspar,fluorspar,ARSMF,ARSMF,US,Primary for Chinese upstream/fluorochemicals; small-cap for ARSMF,"Fluorspar exposure is often through fluorochemicals, refrigerants, and battery-electrolyte chains.",False,13,Tier 1 - highest
Fluorspar,fluorspar,MX,MX,US,Primary for Chinese upstream/fluorochemicals; small-cap for ARSMF,"Fluorspar exposure is often through fluorochemicals, refrigerants, and battery-electrolyte chains.",False,13,Tier 1 - highest
Fluorspar,fluorspar,ORBIA,ORBIA,US,Primary for Chinese upstream/fluorochemicals; small-cap for ARSMF,"Fluorspar exposure is often through fluorochemicals, refrigerants, and battery-electrolyte chains.",False,13,Tier 1 - highest
Fluorspar,fluorspar,ORBJF,ORBJF,US,Primary for Chinese upstream/fluorochemicals; small-cap for ARSMF,"Fluorspar exposure is often through fluorochemicals, refrigerants, and battery-electrolyte chains.",False,13,Tier 1 - highest
Gadolinium,gadolinium,000831.SZ,000831.SZ,CN_A,Heavy REE exposure,"REE complex exposure; individual element revenue disclosure is usually limited, especially for heavy REEs.",False,30,Tier 3 - high
Gadolinium,gadolinium,000970.SZ,000970.SZ,CN_A,Heavy REE exposure,"REE complex exposure; individual element revenue disclosure is usually limited, especially for heavy REEs.",False,30,Tier 3 - high
Gadolinium,gadolinium,300748.SZ,300748.SZ,CN_A,Heavy REE exposure,"REE complex exposure; individual element revenue disclosure is usually limited, especially for heavy REEs.",False,30,Tier 3 - high
Gadolinium,gadolinium,600111.SH,600111.SH,CN_A,Heavy REE exposure,"REE complex exposure; individual element revenue disclosure is usually limited, especially for heavy REEs.",False,30,Tier 3 - high
Gadolinium,gadolinium,600366.SH,600366.SH,CN_A,Heavy REE exposure,"REE complex exposure; individual element revenue disclosure is usually limited, especially for heavy REEs.",False,30,Tier 3 - high
Gadolinium,gadolinium,600392.SH,600392.SH,CN_A,Heavy REE exposure,"REE complex exposure; individual element revenue disclosure is usually limited, especially for heavy REEs.",False,30,Tier 3 - high
Gadolinium,gadolinium,6680.HK,6680.HK,HK,Heavy REE exposure,"REE complex exposure; individual element revenue disclosure is usually limited, especially for heavy REEs.",False,30,Tier 3 - high
Gadolinium,gadolinium,MP,MP,US,Heavy REE exposure,"REE complex exposure; individual element revenue disclosure is usually limited, especially for heavy REEs.",False,30,Tier 3 - high
Gadolinium,gadolinium,USA,USA,US,Heavy REE exposure,"REE complex exposure; individual element revenue disclosure is usually limited, especially for heavy REEs.",False,30,Tier 3 - high
Gadolinium,gadolinium,USAR,USAR,US,Heavy REE exposure,"REE complex exposure; individual element revenue disclosure is usually limited, especially for heavy REEs.",False,30,Tier 3 - high
Gadolinium,gadolinium,UUUU,UUUU,US,Heavy REE exposure,"REE complex exposure; individual element revenue disclosure is usually limited, especially for heavy REEs.",False,30,Tier 3 - high
Gallium,gallium,000831.SZ,000831.SZ,CN_A,Primary/secondary in China; US mostly downstream compound-semiconductor exposure,Gallium is often recovered from bauxite/alumina and used in GaAs/GaN semis.,True,6,Tier 1 - highest
Gallium,gallium,002428.SZ,002428.SZ,CN_A,Primary/secondary in China; US mostly downstream compound-semiconductor exposure,Gallium is often recovered from bauxite/alumina and used in GaAs/GaN semis.,True,6,Tier 1 - highest
Gallium,gallium,601600.SH,601600.SH,CN_A,Primary/secondary in China; US mostly downstream compound-semiconductor exposure,Gallium is often recovered from bauxite/alumina and used in GaAs/GaN semis.,True,6,Tier 1 - highest
Gallium,gallium,2600.HK,2600.HK,HK,Primary/secondary in China; US mostly downstream compound-semiconductor exposure,Gallium is often recovered from bauxite/alumina and used in GaAs/GaN semis.,True,6,Tier 1 - highest
Gallium,gallium,AXT,AXT,US,Primary/secondary in China; US mostly downstream compound-semiconductor exposure,Gallium is often recovered from bauxite/alumina and used in GaAs/GaN semis.,True,6,Tier 1 - highest
Gallium,gallium,AXTI,AXTI,US,Primary/secondary in China; US mostly downstream compound-semiconductor exposure,Gallium is often recovered from bauxite/alumina and used in GaAs/GaN semis.,True,6,Tier 1 - highest
Gallium,gallium,COHR,COHR,US,Primary/secondary in China; US mostly downstream compound-semiconductor exposure,Gallium is often recovered from bauxite/alumina and used in GaAs/GaN semis.,True,6,Tier 1 - highest
Germanium,germanium,002428.SZ,002428.SZ,CN_A,Primary for 002428; byproduct for zinc smelters,Yunnan Germanium is the cleanest listed China proxy.,True,45,Tier 4 - moderate
Germanium,germanium,600497.SH,600497.SH,CN_A,Primary for 002428; byproduct for zinc smelters,Yunnan Germanium is the cleanest listed China proxy.,False,45,Tier 4 - moderate
Germanium,germanium,600961.SH,600961.SH,CN_A,Primary for 002428; byproduct for zinc smelters,Yunnan Germanium is the cleanest listed China proxy.,False,45,Tier 4 - moderate
Germanium,germanium,FPLSF,FPLSF,US,Primary for 002428; byproduct for zinc smelters,Yunnan Germanium is the cleanest listed China proxy.,False,45,Tier 4 - moderate
Germanium,germanium,TECK,TECK,US,Primary for 002428; byproduct for zinc smelters,Yunnan Germanium is the cleanest listed China proxy.,False,45,Tier 4 - moderate
Germanium,germanium,TO,TO,US,Primary for 002428; byproduct for zinc smelters,Yunnan Germanium is the cleanest listed China proxy.,False,45,Tier 4 - moderate
Germanium,germanium,VNP,VNP,US,Primary for 002428; byproduct for zinc smelters,Yunnan Germanium is the cleanest listed China proxy.,False,45,Tier 4 - moderate
Graphite,graphite,600516.SH,600516.SH,CN_A,Primary for 2237/NMG/WWR/GPHOF; battery-anode downstream for BTR/Putailai/Shanshan,Separate natural graphite mining from synthetic graphite/anode processing.,False,5,Tier 1 - highest
Graphite,graphite,600884.SH,600884.SH,CN_A,Primary for 2237/NMG/WWR/GPHOF; battery-anode downstream for BTR/Putailai/Shanshan,Separate natural graphite mining from synthetic graphite/anode processing.,False,5,Tier 1 - highest
Graphite,graphite,603659.SH,603659.SH,CN_A,Primary for 2237/NMG/WWR/GPHOF; battery-anode downstream for BTR/Putailai/Shanshan,Separate natural graphite mining from synthetic graphite/anode processing.,False,5,Tier 1 - highest
Graphite,graphite,835185.BJ,835185.BJ,CN_A,Primary for 2237/NMG/WWR/GPHOF; battery-anode downstream for BTR/Putailai/Shanshan,Separate natural graphite mining from synthetic graphite/anode processing.,False,5,Tier 1 - highest
Graphite,graphite,2237.HK,2237.HK,HK,Primary for 2237/NMG/WWR/GPHOF; battery-anode downstream for BTR/Putailai/Shanshan,Separate natural graphite mining from synthetic graphite/anode processing.,True,5,Tier 1 - highest
Graphite,graphite,GPHOF,GPHOF,US,Primary for 2237/NMG/WWR/GPHOF; battery-anode downstream for BTR/Putailai/Shanshan,Separate natural graphite mining from synthetic graphite/anode processing.,True,5,Tier 1 - highest
Graphite,graphite,NMG,NMG,US,Primary for 2237/NMG/WWR/GPHOF; battery-anode downstream for BTR/Putailai/Shanshan,Separate natural graphite mining from synthetic graphite/anode processing.,True,5,Tier 1 - highest
Graphite,graphite,WWR,WWR,US,Primary for 2237/NMG/WWR/GPHOF; battery-anode downstream for BTR/Putailai/Shanshan,Separate natural graphite mining from synthetic graphite/anode processing.,True,5,Tier 1 - highest
Hafnium,hafnium,002167.SZ,002167.SZ,CN_A,Byproduct/adjacent,Hafnium is tied to zirconium mineral separation; most listed exposure is indirect.,False,41,Tier 3 - high
Hafnium,hafnium,002601.SZ,002601.SZ,CN_A,Byproduct/adjacent,Hafnium is tied to zirconium mineral separation; most listed exposure is indirect.,False,41,Tier 3 - high
Hafnium,hafnium,603663.SH,603663.SH,CN_A,Byproduct/adjacent,Hafnium is tied to zirconium mineral separation; most listed exposure is indirect.,False,41,Tier 3 - high
Hafnium,hafnium,ATI,ATI,US,Byproduct/adjacent,Hafnium is tied to zirconium mineral separation; most listed exposure is indirect.,False,41,Tier 3 - high
Hafnium,hafnium,USA,USA,US,Byproduct/adjacent,Hafnium is tied to zirconium mineral separation; most listed exposure is indirect.,False,41,Tier 3 - high
Hafnium,hafnium,USAR,USAR,US,Byproduct/adjacent,Hafnium is tied to zirconium mineral separation; most listed exposure is indirect.,False,41,Tier 3 - high
Hafnium,hafnium,UUUU,UUUU,US,Byproduct/adjacent,Hafnium is tied to zirconium mineral separation; most listed exposure is indirect.,False,41,Tier 3 - high
Holmium,holmium,000831.SZ,000831.SZ,CN_A,Heavy REE exposure,"REE complex exposure; individual element revenue disclosure is usually limited, especially for heavy REEs.",False,26,Tier 3 - high
Holmium,holmium,000970.SZ,000970.SZ,CN_A,Heavy REE exposure,"REE complex exposure; individual element revenue disclosure is usually limited, especially for heavy REEs.",False,26,Tier 3 - high
Holmium,holmium,300748.SZ,300748.SZ,CN_A,Heavy REE exposure,"REE complex exposure; individual element revenue disclosure is usually limited, especially for heavy REEs.",False,26,Tier 3 - high
Holmium,holmium,600111.SH,600111.SH,CN_A,Heavy REE exposure,"REE complex exposure; individual element revenue disclosure is usually limited, especially for heavy REEs.",False,26,Tier 3 - high
Holmium,holmium,600366.SH,600366.SH,CN_A,Heavy REE exposure,"REE complex exposure; individual element revenue disclosure is usually limited, especially for heavy REEs.",False,26,Tier 3 - high
Holmium,holmium,600392.SH,600392.SH,CN_A,Heavy REE exposure,"REE complex exposure; individual element revenue disclosure is usually limited, especially for heavy REEs.",False,26,Tier 3 - high
Holmium,holmium,6680.HK,6680.HK,HK,Heavy REE exposure,"REE complex exposure; individual element revenue disclosure is usually limited, especially for heavy REEs.",False,26,Tier 3 - high
Holmium,holmium,MP,MP,US,Heavy REE exposure,"REE complex exposure; individual element revenue disclosure is usually limited, especially for heavy REEs.",False,26,Tier 3 - high
Holmium,holmium,USA,USA,US,Heavy REE exposure,"REE complex exposure; individual element revenue disclosure is usually limited, especially for heavy REEs.",False,26,Tier 3 - high
Holmium,holmium,USAR,USAR,US,Heavy REE exposure,"REE complex exposure; individual element revenue disclosure is usually limited, especially for heavy REEs.",False,26,Tier 3 - high
Holmium,holmium,UUUU,UUUU,US,Heavy REE exposure,"REE complex exposure; individual element revenue disclosure is usually limited, especially for heavy REEs.",False,26,Tier 3 - high
Indium,indium,000960.SZ,000960.SZ,CN_A,Byproduct exposure,Indium is mainly recovered as a zinc/tin smelting byproduct; watch disclosure quality.,False,4,Tier 1 - highest
